hv001,precip_annual,temp_annual,elevation,population,wealth_score,wealth_index,n_menages
1,83.16666666666667,27.44166644414266,29,118.8436508178711,131432.3076923077,5,26
2,83.91666666666667,27.283333619435627,34,77.7185287475586,127954.78260869565,5,23
3,82.91666666666667,27.43333339691162,32,111.44425964355469,121572.21428571429,5,28
4,83.66666666666667,27.34166685740153,38,100.29176330566406,110355.96296296296,5,27
5,81.66666666666667,27.208333174387615,27,112.87135314941406,123850.85714285714,4.5,28
6,77.08333333333333,27.0666667620341,5,33.05177688598633,100784.03571428571,4,28
7,80.75,26.99166663487752,0,52.49432373046875,162305.66666666666,5,27
8,80.58333333333333,27.25,7,98.07225036621094,113858.96551724138,4,29
9,83,27.325000286102295,36,101.38664245605469,120580.26923076923,5,26
10,81.75,27.22499990463257,31,109.61151123046875,168031.64285714287,5,28
11,83.16666666666667,27.22499990463257,38,104.6213607788086,151710.9655172414,5,29
12,83.58333333333333,27.22499990463257,39,101.85726928710938,98330.03448275862,4,29
13,83,27.325000286102295,36,106.49571228027344,139791.8148148148,4,27
14,83.83333333333333,27.35000006357829,39,99.54268646240234,200448.58620689655,5,29
15,79.66666666666667,27.458333651224773,20,82.2007827758789,149593.82142857142,5,28
16,75.25,27.550000031789143,8,74.94671630859375,113229.32142857143,4,28
17,81.08333333333333,27.38333336512248,25,67.45582580566406,146428.7037037037,5,27
18,81.33333333333333,27.34166669845581,18,65.58753204345703,109136.46428571429,4.5,28
19,80.66666666666667,27.34166669845581,19,62.89323043823242,133792.42857142858,5,28
20,80.66666666666667,27.233333428700764,20,59.04471969604492,104932.38461538461,4,26
21,81.33333333333333,27.266666730244953,20,62.56919860839844,117853.29629629629,5,27
22,77.16666666666667,27.299999872843426,7,68.17677307128906,117993.24,5,25
23,79.5,27.516666730244953,8,77.23492431640625,105793.4074074074,5,27
24,79.66666666666667,27.458333651224773,20,76.73431396484375,92507.68965517242,4,29
25,79.08333333333333,27.425000190734863,9,69.81934356689453,136065.69565217392,5,23
26,77,27.52500009536743,7,40.89860153198242,131256.92592592593,5,27
27,77.66666666666667,27.50000015894572,10,42.49607467651367,158159,5,28
28,81.41666666666667,27.46666685740153,22,83.2857437133789,155903.55172413794,5,29
29,81,27.458333333333332,24,66.55267333984375,128896.38461538461,5,26
30,81.5,27.458333333333332,24,69.79022216796875,133047.92,5,25
31,81.5,27.458333333333332,24,67.00721740722656,142535.0357142857,5,28
32,82.08333333333333,27.449999968210857,25,114.27458190917969,145057.62068965516,5,29
33,82.75,27.47499990463257,30,77.903656005859375,188259.03846153847,5,26
34,84.25,27.049999872843426,50,30.54018211364746,107584.26666666666,4.5,30
35,81.33333333333333,27.10000006357829,16,24.171710968017578,154896.57142857142,5,28
36,82,27.133333206176758,15,73.24779510498047,104949.69230769231,4,26
37,83,26.96666669845581,10,8.22245979309082,18475.241379310344,4,29
39,88.16666666666667,27.208333333333332,22,9.446727752685547,3296.5,3,28
40,86.41666666666667,27.28333330154419,3,1.008890986442566,-68701.23333333334,2,30
41,87.16666666666667,26.983333428700764,37,11.582627296447754,-29492.933333333334,3,30
42,86.41666666666667,26.90833346048991,64,2.89609956741333,-79323.5,1,30
43,85.25,27.041666666666668,12,2.5398435592651367,-62842.7,2,30
44,85.58333333333333,27.10000006357829,7,1.9298181533813477,-49660.8,2.5,30
45,85.58333333333333,27.075000127156574,24,4.030799865722656,-48678.933333333334,2.5,30
46,90.16666666666667,26.84166653951009,77,4.860419273376465,-51265.06896551724,2,29
47,86.41666666666667,26.858333269755047,49,0.8329873085021973,-60073.724137931036,2,29
48,86.16666666666667,26.62500015894572,56,8.519696235656738,-6964.285714285715,3,28
49,85.16666666666667,26.89999993642171,20,7.508349418640137,-71203.4827586207,2,29
50,85.16666666666667,26.625,64,4.350705623626709,54253,4,30
51,85.83333333333333,26.81666644414266,55,2.84019136428833,-44803.433333333334,3,30
52,85.5,26.53333346048991,132,1.23067045211792,-71534.8,2,30
53,89.08333333333333,26.133333206176758,147,6.688960552215576,-22297.566666666666,3,30
54,87.66666666666667,26.283332983652752,101,1.1165435314178467,-13380.133333333333,3,30
55,84.75,26.38333336512248,104,4.045854091644287,80426.5,4,30
56,83.91666666666667,26.47500006357829,81,0.9249657988548279,-12558.966666666667,3,30
57,83.25,26.866666475931805,17,5.764232158660889,-34335.03333333333,3,30
58,84.25,26.483333269755047,90,4.649341106414795,-29060.966666666667,3,30
59,83.75,26.758333524068195,49,5.363824367523193,-20155.6,3,30
60,84.33333333333333,26.583333492279053,51,0.3844973146915436,-41250.7,3,30
61,86.91666666666667,26.491666793823242,66,0.30273711681365967,-62739.89655172414,2,29
62,94.08333333333333,26.174999872843426,123,0.26216524839401245,-30503.103448275862,3,29
63,87.16666666666667,26.625,98,2.369471549987793,39813.833333333336,4,30
64,87.33333333333333,26.449999968210857,114,1.0321094989776611,-48396.066666666666,3,30
65,93.16666666666667,26.616666475931805,98,0.3913203477859497,-55515.46666666667,2,30
66,83.25,26.641666730244953,84,0.5850881934165955,-57150.53333333333,2.5,30
67,103.25,26.891666571299236,242,2.2968716621398926,-76601.3,1,30
68,107.75,26.458333174387615,335,11.534095764160156,66923.60714285714,4,28
69,99.5,27.058333079020183,167,0.5783642530441284,-70216.2,2,30
